prate,mrate,totpart,totelg,age,totemp,sole,ltotemp
26.1000003814697,0.209999993443489,1653,6322,8,8709,0,9.07211208343506
100,1.41999995708466,262,262,6,315,1,5.75257253646851
97.5999984741211,0.910000026226044,166,170,10,275,1,5.61677122116089
100,0.419999986886978,257,257,7,500,0,6.21460819244385
82.5,0.529999971389771,591,716,28,933,1,6.8384051322937
100,1.82000005245209,92,92,7,143,1,4.96284484863281
100,0.529999971389771,399,399,31,628,1,6.44254016876221
92.5,0.340000003576279,210,227,13,823,0,6.71295642852783
100,0.219999998807907,234,234,21,279,1,5.63121175765991
96.8000030517578,0.600000023841858,120,124,10,141,1,4.94876003265381
83,0.5,156,188,5,252,0,5.52942895889282
100,1.11000001430511,187,187,20,237,1,5.46806001663208
65.5,0.430000007152557,350,534,5,681,1,6.52356243133545
84.9000015258789,0.509999990463257,1519,1790,10,2557,0,7.84659004211426
100,0.189999997615814,150,150,7,187,1,5.23110866546631
100,0.409999996423721,160,160,7,188,1,5.23644208908081
100,0.839999973773956,3448,3448,13,4120,0,8.3236083984375
77.5999984741211,0.46000000834465,225,290,15,341,0,5.83188247680664
100,0.449999988079071,519,519,15,598,0,6.39359092712402
100,1.12999999523163,176,176,8,273,1,5.60947179794312
66.9000015258789,0.479999989271164,79,118,5,224,1,5.41164588928223
100,0.389999985694885,270,270,7,415,0,6.02827835083008
70.3000030517578,0.209999993443489,201,286,7,361,0,5.88887786865234
100,0.949999988079071,381,381,23,422,0,6.04500532150269
51.2999992370606,0.340000003576279,284,554,9,797,1,6.68085479736328
61.2999992370606,0.360000014305115,171,279,15,2102,1,7.65064477920532
88.3000030517578,0.959999978542328,3858,4371,28,4371,0,8.38274669647217
100,0.870000004768372,143,143,8,143,1,4.96284484863281
82.9000015258789,4.19999980926514,107,129,7,131,1,4.8751974105835
77.8000030517578,0.0799999982118607,770,990,6,1042,0,6.94889736175537
100,0.910000026226044,179,179,6,312,1,5.74300336837769
90.0999984741211,0.439999997615814,2803,3110,6,3543,0,8.1727294921875
85.3000030517578,0.620000004768372,93,109,13,158,0,5.06259489059448
100,0.280000001192093,425,425,7,458,0,6.12686920166016
100,0.589999973773956,2027,2027,7,2442,0,7.80057287216187
75.5999984741211,0.300000011920929,438,579,11,1721,0,7.45066070556641
100,0.560000002384186,584,584,7,685,1,6.5294189453125
100,0.649999976158142,1284,1284,5,1559,0,7.35179996490479
100,1.30999994277954,109,109,37,297,1,5.69373226165772
78.1999969482422,0.209999993443489,1017,1301,7,2125,0,7.66152715682983
77.4000015258789,0.409999996423721,209,270,7,381,1,5.94279956817627
100,0.230000004172325,145,145,6,405,0,6.00388717651367
77,0.409999996423721,612,795,12,1125,0,7.02553844451904
100,2.02999997138977,133,133,35,206,1,5.32787609100342
98.9000015258789,0.519999980926514,275,278,42,297,0,5.69373226165772
75.3000030517578,0.389999985694885,192,255,6,1024,0,6.931471824646
77.1999969482422,0.159999996423721,464,601,6,636,0,6.45519876480103
100,0.990000009536743,542,542,9,622,0,6.4329400062561
88.5,0.100000001490116,3107,3510,5,6428,0,8.76841831207275
100,0.0199999995529652,732,732,7,2284,0,7.73368358612061
100,0.879999995231628,173,173,7,322,1,5.77455139160156
42.5,0.28999999165535,316,744,37,775,0,6.65286302566528
100,0.129999995231628,122,122,11,157,1,5.05624580383301
100,1.5900000333786,390,390,32,446,0,6.10031890869141
74.6999969482422,0.5799999833107,2307,3089,36,4067,1,8.31066131591797
37.5,0.28999999165535,1136,3033,6,3351,0,8.11701393127441
78,0.140000000596046,2332,2990,9,9080,1,9.11382961273193
84,0.649999976158142,905,1078,31,1253,1,7.13329601287842
100,2.39000010490418,179,179,6,179,1,5.18738603591919
100,1.13999998569489,307,307,20,411,1,6.01859331130981
84.9000015258789,0.409999996423721,686,808,7,1404,1,7.24708080291748
79.5,0.219999998807907,1634,2055,5,2304,0,7.74240207672119
100,0.449999988079071,118,118,5,149,1,5.00394630432129
100,1.10000002384186,337,337,14,720,1,6.57925128936768
95.8000030517578,0.629999995231628,113,118,6,130,0,4.86753463745117
99.3000030517578,0.490000009536743,599,603,28,665,0,6.49978685379028
81.1999969482422,0.150000005960464,108,133,7,231,1,5.44241762161255
93.5999984741211,0.109999999403954,162,173,27,211,1,5.35185813903809
88.0999984741211,0.239999994635582,222,252,8,425,1,6.05208921432495
100,0.649999976158142,150,150,16,198,1,5.28826713562012
100,1.35000002384186,285,285,10,287,0,5.6594820022583
100,0.200000002980232,2311,2311,5,3062,0,8.02682399749756
81,0.180000007152557,102,126,27,151,1,5.01727962493897
100,1.16999995708466,101,101,8,247,0,5.50938844680786
73.8000030517578,1.12000000476837,357,484,20,24656,1,10.1127758026123
65.6999969482422,0.150000005960464,334,508,6,808,0,6.69456195831299
94.9000015258789,1.6599999666214,1330,1402,27,2437,0,7.79852294921875
38.0999984741211,0.200000002980232,69,181,6,529,1,6.27098846435547
91.9000015258789,0.200000002980232,148,161,11,575,0,6.3543701171875
35.5999984741211,0.189999997615814,678,1904,9,5102,0,8.53738784790039
71.9000015258789,0.219999998807907,1252,1741,5,2896,0,7.97108554840088
77.4000015258789,2.24000000953674,212,274,6,379,0,5.93753623962402
100,0.620000004768372,163,163,11,253,1,5.53338956832886
